experiment_id,description,model_name,metric_name,metric_value,improved,duration_s,commit,notes
0,"baseline: EfficientNet-B2 full fine-tune (timm, ImageNet pretrained) with AdamW + cosine LR for 40 epochs — Tier C choice for N=16,200 satellite imagery (EuroSAT-style 10-class land-use), with ImageNet normalization, flip/jitter/erase augmentation, and standard CrossEntropy (class ratio 1.56×, below focal-loss threshold)",,macro_f1,0.961997,true,1256.0,2d6d5ff,
1,"Upgraded backbone to ConvNeXt-Tiny (28M params, stronger than EfficientNet-B2), added CutMix augmentation (cutmix_alpha=1.0, prob=0.5) with SoftTargetCrossEntropy + label smoothing=0.1, enabled AMP mixed precision for faster training, and added 3-view TTA (original + h-flip + v-flip) at validation — targeting ~97.5-98.5% F1 vs baseline 96.2%",,macro_f1,0.984816,true,1121.2,d4b0620,
2,"Switched backbone to EfficientNetV2-S (21.5M params, ImageNet top-1=83.9% vs ConvNeXt-Tiny 82.1%), added 90°-multiple rotation augmentation (valid for nadir satellite imagery), combined Mixup+CutMix (switch_prob=0.5), added linear warmup (5 epochs) before cosine decay, and expanded TTA from 3-view to 5-view (adding rot90/rot270)",,macro_f1,0.968293,false,1543.8,,
3,"Switched backbone from ConvNeXt V1-Tiny to ConvNeXt V2-Tiny (same 28M params, same speed, but improved GRN architecture + FCMAE pretraining → 82.9% vs 82.1% IN1K top-1), expanded TTA from 3-view to 5-view (adding rot90/rot270 valid for nadir satellite imagery), replaced 15° random rotation with 90°-aligned discrete rotations in training augmentation, and added 5-epoch linear warmup for training stability.",,macro_f1,0.984912,true,1468.2,06a6d9d,
4,"Switched backbone to convnext_small.dinov3_lvd1689m (50M params, DINOv3 self-supervised pretraining on 1.689B images) — 119× more pretraining data than current IN22K model, faster per-batch (61ms vs 65ms at 64×64), with time-safety stop at 1720s added as guard",,macro_f1,0.984102,false,1475.3,,
5,"Added SWA (Stochastic Weight Averaging, epochs 32-40) to average model weights from multiple checkpoints for flatter minima, and expanded TTA from 5-view to 8-view D4 symmetry group (complete dihedral group: 4 rotations × 2 reflections) — estimated +0.05-0.2% improvement with ~1547s runtime (within budget)",,macro_f1,0.982179,false,1569.1,,
6,"Added EMA (ModelEmaV2 decay=0.9998) for smoother weight averaging at inference, replaced plain Resize with RandomResizedCrop(scale=0.75-1.0) to add scale variation, and removed continuous RandomRotation(10) that conflicted with discrete 90°-aligned rotations and introduced blur artifacts in satellite imagery",,macro_f1,0.979689,false,1563.0,,
7,"Expanded TTA from 5-view to complete 8-view D4 dihedral group (adding rot180, transpose, anti-transpose) and switched from softmax to logit averaging — isolating the TTA change from exp 5 which conflated it with SWA",,macro_f1,0.984997,true,1538.4,e334d9b,
8,"Switched to convnextv2_tiny.fcmae_ft_in22k_in1k_384 (same 28M params but IN22K supervised pretraining with 21K categories for richer feature representations) and added layer-wise LR decay (LLRD, decay=0.8) assigning smaller LR to earlier layers to better preserve general features during fine-tuning",,macro_f1,0.981777,false,1558.7,,
9,"Switched backbone to convnext_small.fb_in22k_ft_in1k (50M params, IN22K supervised pretraining on 14M images/21K classes for richer features) and removed RandomRotation(10) which caused bilinear interpolation blur artifacts on 64×64 satellite images",,macro_f1,0.985537,true,1518.3,8e5966c,
10,"Upgraded backbone from ConvNeXt-Small (50M) to ConvNeXt-Base (88M params, same fb_in22k_ft_in1k IN22K pretraining recipe) for greater model capacity; restructured validation to use fast single-pass during training for checkpoint selection and 8-view D4 TTA only on the best checkpoint at the end, keeping the full 40-epoch schedule within the 1800s budget (~1540s estimated).",,macro_f1,0.987075,true,1560.7,4744394,
11,"Upgraded backbone from ConvNeXt-Base (88M) to ConvNeXt-Large (198M params, same fb_in22k_ft_in1k IN22K pretraining), continuing the consistent scaling progression (Tiny→Small→Base→Large) that has produced steady gains; at 64×64 images Python overhead dominates so timing should remain ~1570-1600s within budget.",,macro_f1,0.983872,false,1185.5,,
12,"Switched backbone from ConvNeXt V1-Base to ConvNeXt V2-Base (same 88M params, FCMAE pretraining + IN22K fine-tuning, better GRN architecture) and restored NUM_EPOCHS to 40 to match the best_train.py configuration that produced 0.987075",,macro_f1,,false,0.1,,SyntaxError: unterminated string literal (detected at line 1)
13,"Switched backbone from `convnext_base.fb_in22k_ft_in1k` to `convnext_base.clip_laion2b_augreg_ft_in12k_in1k` (same 88M ConvNeXt-Base architecture but CLIP-pretrained on LAION-2B → IN12K → IN1K, richer semantic pretraining for land-use categories) with matching CLIP normalization; also fixed the critical `num_workers=4→0` hard constraint violation in the broken train.py from exp 12.",,macro_f1,0.984809,false,1555.5,,
14,"Restored best model (convnext_base.fb_in22k_ft_in1k, 88M IN22K) from exp 10 + fixed num_workers=4→0 constraint violation + added Mixup (alpha=0.8) to CutMix (switch_prob=0.5→0.5) matching the original ConvNeXt training recipe, to improve generalization on hard confusable EuroSAT classes",,macro_f1,0.985163,false,1545.8,,
15,"Restored best backbone (convnext_base.fb_in22k_ft_in1k, 88M IN22K) from exp 10 + fixed num_workers=4→0 hard constraint violation + increased NUM_EPOCHS 40→45 for more convergence + reduced label_smoothing 0.1→0.05 for sharper predictions + added gradient clipping (max_norm=1.0) for stability",,macro_f1,0.983961,false,1771.4,,
16,"Switched backbone from ConvNeXt-Base to Swin-B (swin_base_patch4_window7_224.ms_in22k_ft_in1k, same 88M params + IN22K pretraining) with img_size=(64,64) to adapt window attention to native resolution; reduced to 37 epochs to stay within 1800s time budget (~1725s estimated); all other hyperparameters match the best exp 10 configuration",,macro_f1,0.984758,false,1657.1,,
17,"Restored convnext_base.fb_in22k_ft_in1k (exp 10 best config) + fixed num_workers=4→0 + added snapshot ensembling (collect 8-view D4 TTA logits at epochs 32/35/38/40 via deterministic Subset loader, average across snapshots) to leverage model diversity near convergence for a free ensemble boost",,macro_f1,0.984562,false,1586.9,,
