experiment_id,description,model_name,metric_name,metric_value,improved,duration_s,commit,notes
0,baseline: LightGBM with 60-trial Optuna TPO search (5-fold CV) — optimal for small tabular binary classification at N=891 with mixed numeric/categorical features,,roc_auc,0.838340,true,25.7,3979480,
1,sdk_error_1,,roc_auc,0.885299,true,30.2,5436e51,
2,"Enhanced feature engineering (ticket group size, title-based age imputation, WomanOrChild flag, cabin number, fare per ticket member) + added CatBoost with native categorical handling, ensembled 50/50 with LightGBM OOF predictions",,roc_auc,0.884061,false,29.4,,
3,"Added Title-based age imputation, AgeIsNull flag, WomanOrChild and AgeSexMale interaction features, plus 5-seed LightGBM ensemble averaging to reduce prediction variance",,roc_auc,0.894273,true,29.8,d8615dd,
4,"Added XGBoost to ensemble (LightGBM leaf-wise vs XGBoost depth-wise creates complementary predictions), plus new features: TicketGroupSize, CabinNum, FarePclassRank, SexClass interaction; blend 5-seed LightGBM + 5-seed XGBoost OOF predictions 50/50",,roc_auc,0.889485,false,54.4,,
5,"Added TicketGroupSize/IsTicketGroup (same-ticket group proxy), SurnameGroupSize (surname family proxy), CabinNum (numeric cabin ordinal), WCPclass interaction; added max_depth to Optuna HPO; switched ensemble from same-fold-different-model-seed to 5-repeat-5-fold CV (different fold splits per seed for true prediction diversity)",,roc_auc,0.893773,false,27.6,,
6,"Added fold-aware cross-validated target encoding: FamilySurvRate (surname group) and TicketSurvRate (ticket group) computed with Bayesian smoothing (k=3) and LOO for training samples — families tend to survive/die together, making this one of the strongest Titanic signals not yet in the model",,roc_auc,0.903645,true,27.7,b7a8c3c,
7,"Added fold-aware target encodings for DeckSurvRate and PclassSexSurvRate (the strongest Titanic interaction: 1st class female ~97% vs 3rd class male ~13%), plus TicketGroupSize/SurnameGroupSize group count features and WCPclass interaction; increased Optuna to 100 trials",,roc_auc,0.780609,false,32.0,,
8,"Added TicketGroupSize, SurnameGroupSize, IsAloneTicket (group count features that tell the model how reliable the survival rate encodings are), WCPclass interaction (WomanOrChild × Pclass captures 1st-class women ~97% vs 3rd-class women ~50%), max_depth to Optuna HPO for better regularization tuning, increased trials to 100, and expanded ensemble seeds from 5 to 7 for better variance reduction.",,roc_auc,0.900872,false,35.4,,
9,"Added CatBoost (5-seed, 5-fold OOF, native categoricals + fold-aware survival features) blended 50/50 with LightGBM — algorithmic diversity from CatBoost's symmetric trees and ordered boosting vs LightGBM's leaf-wise growth should reduce ensemble variance beyond what multi-seed LightGBM alone achieves",,roc_auc,0.899964,false,34.0,,
10,"Added fold-aware PclassSexSurvRate target encoding (6 Pclass×Sex groups with survival rates from ~97% to ~13%) as a third survival feature alongside FamilySurvRate and TicketSurvRate, keeping all other settings identical to exp 6",,roc_auc,0.876037,false,23.1,,
